#	tipo	traducción
#	idioma	es
#	traducción	en
#	version	1
cien	one hundred	
canciones	songs	
tengo	I have	
que	that, to	
cantar	to sing	
y	and	
así	so, this way	
mi	my	
idioma	language	
enseñar	to teach	
para	for, to	
empezar	to start, to begin	
con	with	
cada	each, every	
palabra	word	
en	in, on	
su	his, her, their, its	
lugar	place	
una	a, one	
canción	song	
puede	can, may	
emocionar	to excite, to move	
otra	another	
explicar	to explain	
al	to the	
escucharlas	to listen to them	
te	you	
divertirán	they will amuse, entertain	
aunque	although, even though	
no	no, not	
todas	all, every one	
vayan	they go	
a	to	
gustar	to like, to please	
van	they go	
mostrar	to show	
inventar	to invent	
importa	it matters	
hacerlo	to do it	
bien	well, good	
o	or	
mal	badly, wrong	
tener	to have	
uno	one	
poder	to be able to, power	
otro	other, another	
escuchar	to listen	
divertir	to amuse, to entertain	
todo	all, everything	
ir	to go	
importar	to matter	
hacer	to do, to make	
es	is	
un	a	
tipo	type, kind	
de	of, from	
magia	magic	
afecta	affects	
corazón	heart	
suena	sounds	
fuerza	strength, force	
llama	calls, attracts	
la	the	
atención	attention	
hay	there is, there are	
estallidos	bursts, explosions	
ni	nor, neither	
luces	lights	
divinas	divine	
pero	but	
algo	something	
mejor	better, best	
mensaje	message	
llega	arrives, reaches	
muy	very	
lejos	far	
conexión	connection	
convence	convinces	
mundo	world	
haciéndolo	doing it	
ser	to be	
afectar	to affect	
sonar	to sound	
llamar	to call	
el, la	the	
haber	to have, to be	
estallido	burst, explosion	
luz	light	
divino	divine	
llegar	to arrive, to reach	
convencer	to convince	
hola	hello	
cómo	how	
estás	you are	
yo	I	
estoy	I am	
si	if / whether	
tú	you	
aquí	here	
feliz	happy	
verte	to see you	
sonreír	to smile	
estar	to be	
ver	to see	
